Metabolites,Substrate,Temps,Mean,Stdev,Model_idx
WheyProtein,G0,T24,0,0,EX_WheyProtein_e
WheyProtein,G2,T0,0.08703834392,0,EX_WheyProtein_e
WheyProtein,G2,T6,0.05645730416,0,EX_WheyProtein_e
WheyProtein,G2,T12,0.0705716302,0,EX_WheyProtein_e
WheyProtein,G2,T24,0.06469066102,0,EX_WheyProtein_e
WheyProtein,G20,T0,1.029169607,0,EX_WheyProtein_e
WheyProtein,G20,T6,0.9644789461,0,EX_WheyProtein_e
WheyProtein,G20,T12,1.002117149,0,EX_WheyProtein_e
WheyProtein,G20,T24,0.993883792,0,EX_WheyProtein_e
MedProtein,G0,T0,0.5063514467,0.007485251742,EX_MedProtein_e
MedProtein,G0,T6,0.4798870854,0.01497050348,EX_MedProtein_e
MedProtein,G0,T12,0.4442092057,0.06054066697,EX_MedProtein_e
MedProtein,G0,T24,0.3869677723,0.07488023544,EX_MedProtein_e
MedProtein,G2,T0,0.5063514467,0.007485251742,EX_MedProtein_e
MedProtein,G2,T6,0.4798870854,0.01497050348,EX_MedProtein_e
MedProtein,G2,T12,0.4442092057,0.06054066697,EX_MedProtein_e
MedProtein,G2,T24,0.3869677723,0.07488023544,EX_MedProtein_e
MedProtein,G20,T0,0.5063514467,0.007485251742,EX_MedProtein_e
MedProtein,G20,T6,0.4798870854,0.01497050348,EX_MedProtein_e
MedProtein,G20,T12,0.4442092057,0.06054066697,EX_MedProtein_e
MedProtein,G20,T24,0.3869677723,0.07488023544,EX_MedProtein_e
